term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],specification,bandwidth_m
C(boundary_school_name)[T.KONG HWA SCHOOL],-0.15430877032577037,0.019742075057047514,-7.816238661836376,5.442514039535484e-15,-0.19300252641767002,-0.11561501423387072,uncontrolled,100
C(boundary_school_name)[T.KRANJI PRIMARY SCHOOL],-0.10083419228561835,0.014797077672727756,-6.814466647793851,9.461412069641218e-12,-0.12983593160060652,-0.07183245297063019,uncontrolled,100
C(boundary_school_name)[T.KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL],0.0009490918305997686,0.022089879670426672,0.04296500681578573,0.965729428596829,-0.04234627674626003,0.044244460407459565,uncontrolled,100
C(boundary_school_name)[T.LAKESIDE PRIMARY SCHOOL],-0.23023029074361845,0.01937003524042014,-11.885899425892047,1.4011858971435842e-32,-0.2681948621941136,-0.19226571929312333,uncontrolled,100
C(boundary_school_name)[T.LIANHUA PRIMARY SCHOOL],-0.10307749668980781,0.014478543913858725,-7.1193275582873365,1.084548832089026e-12,-0.1314549213095525,-0.07470007207006311,uncontrolled,100
C(boundary_school_name)[T.MAHA BODHI SCHOOL],0.2034658135516973,0.020957997554807165,9.708265926628474,2.7802672378247653e-22,0.16238889315619673,0.24454273394719786,uncontrolled,100
C(boundary_school_name)[T.MARSILING PRIMARY SCHOOL],-0.39260638357072014,0.019451238471917126,-20.18413296086769,1.349749224589406e-90,-0.4307301104303776,-0.35448265671106266,uncontrolled,100
C(boundary_school_name)[T.MARYMOUNT CONVENT SCHOOL],0.04462692118798234,0.0169669231860515,2.630230637495319,0.008532695832245933,0.011372362814863812,0.07788147956110086,uncontrolled,100
C(boundary_school_name)[T.MAYFLOWER PRIMARY SCHOOL],-0.18823298258566146,0.016060887542910365,-11.719961433186905,1.007178387818239e-31,-0.21971174372951377,-0.15675422144180914,uncontrolled,100
C(boundary_school_name)[T.MEE TOH SCHOOL],0.0742656696901467,0.011554864840952025,6.427220976825188,1.2995783831201544e-10,0.05161855075565259,0.09691278862464081,uncontrolled,100
C(boundary_school_name)[T.MERIDIAN PRIMARY SCHOOL],0.3281464163790513,0.02030589202540786,16.160157651210607,9.631504513170597e-59,0.2883475993352928,0.36794523342280977,uncontrolled,100
C(boundary_school_name)[T.METHODIST GIRLS' SCHOOL (PRIMARY)],0.6875649823886585,0.02231300830960073,30.81453530821375,1.6737689960771529e-208,0.6438322897150981,0.7312976750622189,uncontrolled,100
C(boundary_school_name)[T.MONTFORT JUNIOR SCHOOL],0.028307618338152096,0.01367738646190524,2.0696657520788433,0.03848365602234203,0.001500433470182111,0.05511480320612208,uncontrolled,100
C(boundary_school_name)[T.NAN CHIAU PRIMARY SCHOOL],0.14878193711860954,0.011940870724899988,12.459890115748294,1.235407235176745e-35,0.1253782605537569,0.1721856136834622,uncontrolled,100
C(boundary_school_name)[T.NAN HUA PRIMARY SCHOOL],0.2032466009339835,0.016981388056073653,11.968786077018555,5.178066122362848e-33,0.1699636919365805,0.2365295099313865,uncontrolled,100
C(boundary_school_name)[T.NAVAL BASE PRIMARY SCHOOL],-0.20094448734016102,0.01445140667578509,-13.90483928992639,5.919968258021163e-44,-0.2292687239506415,-0.17262025072968054,uncontrolled,100
C(boundary_school_name)[T.NEW TOWN PRIMARY SCHOOL],0.027835664722591025,0.02202527642107969,1.2638054656126994,0.20629985896397596,-0.01533308381226442,0.07100441325744647,uncontrolled,100
C(boundary_school_name)[T.NGEE ANN PRIMARY SCHOOL],0.3878404142548519,0.02195971235940824,17.66145238640563,8.307427070384842e-70,0.3448001689195526,0.43088065959015115,uncontrolled,100
C(boundary_school_name)[T.NORTH SPRING PRIMARY SCHOOL],0.11823296868563338,0.012641461347766093,9.352792800851828,8.536335393311448e-21,0.09345615973205666,0.14300977763921008,uncontrolled,100
C(boundary_school_name)[T.NORTH VIEW PRIMARY SCHOOL],-0.08587893993541805,0.015808761719461058,-5.4323634867428305,5.561249533417814e-08,-0.11686354354573722,-0.05489433632509888,uncontrolled,100
C(boundary_school_name)[T.NORTH VISTA PRIMARY SCHOOL],0.05896673054313056,0.013051606487406522,4.517967240280151,6.243614107752959e-06,0.03338605188742445,0.08454740919883667,uncontrolled,100
C(boundary_school_name)[T.NORTHLAND PRIMARY SCHOOL],-0.08492600319535948,0.013083137620300975,-6.491256582333937,8.512336073647394e-11,-0.11056848173593045,-0.0592835246547885,uncontrolled,100
C(boundary_school_name)[T.NORTHOAKS PRIMARY SCHOOL],0.023218733812567782,0.0148033005487004,1.568483578117056,0.11676831948446799,-0.00579520211520702,0.05223266974034259,uncontrolled,100
C(boundary_school_name)[T.NORTHSHORE PRIMARY SCHOOL],0.20013345759972445,0.013872780998720304,14.426340156179629,3.5333930483380246e-47,0.17294330647682105,0.22732360872262786,uncontrolled,100
C(boundary_school_name)[T.OASIS PRIMARY SCHOOL],0.07458528824012356,0.012970507011438466,5.7503756926655285,8.904535426236657e-09,0.04916356163647992,0.1000070148437672,uncontrolled,100
C(boundary_school_name)[T.OPERA ESTATE PRIMARY SCHOOL],-0.24092428909864558,0.01548441716831473,-15.559144815062286,1.3792949885400183e-54,-0.27127318907013614,-0.210575389127155,uncontrolled,100
C(boundary_school_name)[T.PALM VIEW PRIMARY SCHOOL],0.061206058979782374,0.012815211688794114,4.77604744003583,1.787742347776394e-06,0.036088705615489186,0.08632341234407556,uncontrolled,100
C(boundary_school_name)[T.PARK VIEW PRIMARY SCHOOL],0.3503827637628205,0.03861795974545019,9.073052177597269,1.157288358727542e-19,0.2746929535053205,0.4260725740203205,uncontrolled,100
C(boundary_school_name)[T.PASIR RIS PRIMARY SCHOOL],0.12666626241250284,0.016881764098199924,7.5031413586693265,6.230629713653847e-14,0.09357861278452968,0.159753912040476,uncontrolled,100
C(boundary_school_name)[T.PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)],0.09522408763113738,0.02587346360065728,3.680376508567579,0.00023288982620591384,0.044513030818541084,0.14593514444373368,uncontrolled,100
C(boundary_school_name)[T.PEI CHUN PUBLIC SCHOOL],0.23914413419296351,0.014993820574224544,15.949512868259173,2.8712778580044426e-57,0.20975678587682772,0.2685314825090993,uncontrolled,100
C(boundary_school_name)[T.PEI TONG PRIMARY SCHOOL],-0.047286210281136665,0.027347830496544646,-1.729066233868577,0.08379724158312682,-0.10088697310967032,0.006314552547396983,uncontrolled,100
C(boundary_school_name)[T.PEIYING PRIMARY SCHOOL],-0.1090002213477736,0.01609786792483616,-6.771096759938349,1.2780975502801991e-11,-0.14055146270833502,-0.07744897998721217,uncontrolled,100
C(boundary_school_name)[T.PIONEER PRIMARY SCHOOL],-0.028373971708919477,0.01837998373539375,-1.5437430259680058,0.1226505985298187,-0.06439807786672319,0.007650134448884238,uncontrolled,100
C(boundary_school_name)[T.POI CHING SCHOOL],0.11493713793738408,0.01687025864769036,6.813003898616556,9.558155003070349e-12,0.08187203857803557,0.1480022372967326,uncontrolled,100
C(boundary_school_name)[T.PRINCESS ELIZABETH PRIMARY SCHOOL],0.0754718680424244,0.014410466778958882,5.2372951688576075,1.6294698248171984e-07,0.047227872155254064,0.10371586392959473,uncontrolled,100
C(boundary_school_name)[T.PUNGGOL COVE PRIMARY SCHOOL],0.1184241164490159,0.013131859986260673,9.01807638620258,1.914208370808158e-19,0.09268614382592233,0.14416208907210948,uncontrolled,100
C(boundary_school_name)[T.PUNGGOL GREEN PRIMARY SCHOOL],0.06565132884914343,0.012712682500303569,5.1642388494777345,2.4141926734448903e-07,0.04073492900165583,0.09056772869663103,uncontrolled,100
C(boundary_school_name)[T.PUNGGOL PRIMARY SCHOOL],0.0714902939578107,0.01351844246411217,5.288352866655919,1.234227084889432e-07,0.04499463360107395,0.09798595431454746,uncontrolled,100
C(boundary_school_name)[T.PUNGGOL VIEW PRIMARY SCHOOL],0.11495097719712671,0.012831611600089663,8.95842087336274,3.293612017287367e-19,0.0898014805973446,0.14010047379690882,uncontrolled,100
C(boundary_school_name)[T.QIFA PRIMARY SCHOOL],0.1305735029260351,0.017782637604433868,7.342752286279415,2.092455910544735e-13,0.09572017367121709,0.16542683218085308,uncontrolled,100
C(boundary_school_name)[T.QIHUA PRIMARY SCHOOL],-0.15545634089051275,0.013589312693783658,-11.439602899241933,2.6509609194992644e-30,-0.1820909043449817,-0.12882177743604378,uncontrolled,100
C(boundary_school_name)[T.QUEENSTOWN PRIMARY SCHOOL],0.14775008323880773,0.023927087357020732,6.175013324196128,6.61578910984973e-10,0.10085385376410341,0.19464631271351204,uncontrolled,100
C(boundary_school_name)[T.RADIN MAS PRIMARY SCHOOL],0.3920504695677618,0.02344474267818437,16.722319154842747,9.014204284788851e-63,0.3460996182917113,0.43800132084381227,uncontrolled,100
C(boundary_school_name)[T.RED SWASTIKA SCHOOL],-0.1414683368469056,0.01495076595574993,-9.462280211302362,3.012998866289655e-21,-0.17077129966146304,-0.11216537403234818,uncontrolled,100
C(boundary_school_name)[T.RIVER VALLEY PRIMARY SCHOOL],0.1076915458192646,0.020950084575637403,5.1403871631381275,2.7417293467705003e-07,0.0666301345779472,0.148752957060582,uncontrolled,100
C(boundary_school_name)[T.RIVERSIDE PRIMARY SCHOOL],0.0007413747512269916,0.015332578378621852,0.048352907966261384,0.9614349893719927,-0.029309926661009372,0.03079267616346336,uncontrolled,100
C(boundary_school_name)[T.RIVERVALE PRIMARY SCHOOL],0.039078888234300946,0.012599932010148862,3.101515802055447,0.0019253259604125213,0.01438347528675581,0.06377430118184609,uncontrolled,100
C(boundary_school_name)[T.ROSYTH SCHOOL],-0.1266068241060022,0.014596295325444894,-8.673901238850362,4.175625027711106e-18,-0.15521503725158456,-0.09799861096041987,uncontrolled,100
C(boundary_school_name)[T.RULANG PRIMARY SCHOOL],-0.09328702024708863,0.014790258669723128,-6.307328514683438,2.8389284363761393e-10,-0.12227539456177725,-0.0642986459324,uncontrolled,100
C(boundary_school_name)[T.SEMBAWANG PRIMARY SCHOOL],-0.07147871314360804,0.016833267127513818,-4.24627688743659,2.1735200499895225e-05,-0.10447131045567713,-0.03848611583153895,uncontrolled,100
C(boundary_school_name)[T.SENG KANG PRIMARY SCHOOL],0.03268319109223261,0.013111306270799051,2.4927486565563064,0.012675854015950228,0.006985503011192305,0.05838087917327292,uncontrolled,100
C(boundary_school_name)[T.SENGKANG GREEN PRIMARY SCHOOL],0.1581983125675045,0.015372271908669874,10.291147171179137,7.72504665725281e-25,0.12806921326595475,0.18832741186905425,uncontrolled,100
C(boundary_school_name)[T.SHUQUN PRIMARY SCHOOL],-0.06660767620745384,0.01674378508230441,-3.9780537005248497,6.948168155829063e-05,-0.0994248919336495,-0.03379046048125817,uncontrolled,100
C(boundary_school_name)[T.SI LING PRIMARY SCHOOL],-0.012863340012305671,0.01391660152945473,-0.9243161834504054,0.3553217192788988,-0.04013937779723198,0.014412697772620633,uncontrolled,100
C(boundary_school_name)[T.SOUTH VIEW PRIMARY SCHOOL],0.00010089422414433225,0.012880543203430418,0.007833072142288343,0.9937501765858343,-0.025144506555891462,0.025346295004180126,uncontrolled,100
C(boundary_school_name)[T.SPRINGDALE PRIMARY SCHOOL],0.10034780695030432,0.012824415827587823,7.824746818832604,5.0867959659773234e-15,0.07521241380546675,0.12548320009514188,uncontrolled,100
C(boundary_school_name)[T.ST ANDREW'S SCHOOL (JUNIOR)],0.06088031777697589,0.018238675433672254,3.3379791201601523,0.0008439009063191648,0.025133170801262823,0.09662746475268896,uncontrolled,100
C(boundary_school_name)[T.ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL],-0.05227169986936714,0.02190304888975983,-2.3865033645523814,0.017009451726406274,-0.09520088684491643,-0.009342512893817857,uncontrolled,100
C(boundary_school_name)[T.ST. ANTHONY'S PRIMARY SCHOOL],0.06957865411913405,0.015754917892708574,4.416313343742354,1.0039851774113249e-05,0.038699582470039566,0.10045772576822853,uncontrolled,100
C(boundary_school_name)[T.ST. GABRIEL'S PRIMARY SCHOOL],0.14797703504752907,0.017880547320938682,8.275867197546203,1.2752406617700676e-16,0.1129318062746251,0.18302226382043305,uncontrolled,100
C(boundary_school_name)[T.ST. HILDA'S PRIMARY SCHOOL],0.1607709253903771,0.01368801379769282,11.745380138167,7.458635156933067e-32,0.13394291132701183,0.18759893945374237,uncontrolled,100
C(boundary_school_name)[T.ST. JOSEPH'S INSTITUTION JUNIOR],-0.14857258829953915,0.028198916315506174,-5.268733969675326,1.373678741610014e-07,-0.20384144868099016,-0.09330372791808814,uncontrolled,100
C(boundary_school_name)[T.ST. MARGARET'S SCHOOL (PRIMARY)],0.07365241154920688,0.021666819789521945,3.399318047811757,0.0006755411102314757,0.03118622510222415,0.1161185979961896,uncontrolled,100
C(boundary_school_name)[T.ST. STEPHEN'S SCHOOL],0.09940326565809426,0.022768194567102763,4.36588265113123,1.266104430576241e-05,0.05477842431357232,0.1440281070026162,uncontrolled,100
C(boundary_school_name)[T.TAMPINES NORTH PRIMARY SCHOOL],0.1580344804944511,0.013859987153875849,11.402209737998051,4.076389612428968e-30,0.13086940484666662,0.18519955614223557,uncontrolled,100
C(boundary_school_name)[T.TAMPINES PRIMARY SCHOOL],0.012341097351233593,0.013536106530268203,0.9117169197536648,0.36191775478893795,-0.014189183938989519,0.038871378641456705,uncontrolled,100
