OBJECTID,STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,STATION_NAME_ENGLISH,lines_present,line_count,lines_present_json,is_tagged
17830,ESPLANADE MRT STATION,Exit G,2ACFF8F7FE329CCA,20251202172807,ESPLANADE MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17831,ESPLANADE MRT STATION,Exit C,37A435E4166C73B7,20251202172807,ESPLANADE MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17832,ESPLANADE MRT STATION,Exit B,651EA817751D16D3,20251202172807,ESPLANADE MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17833,RAFFLES PLACE MRT STATION,Exit C,D79CE3109CFB1331,20251202172807,RAFFLES PLACE MRT STATION,"['East-West Line', 'North-South Line']",2,"[""East-West Line"", ""North-South Line""]",True
17834,RAFFLES PLACE MRT STATION,Exit J,244D66DE744BCD47,20251202172807,RAFFLES PLACE MRT STATION,"['East-West Line', 'North-South Line']",2,"[""East-West Line"", ""North-South Line""]",True
17835,RAFFLES PLACE MRT STATION,Exit F,0172739C99613BF7,20251202172807,RAFFLES PLACE MRT STATION,"['East-West Line', 'North-South Line']",2,"[""East-West Line"", ""North-South Line""]",True
17836,RAFFLES PLACE MRT STATION,Exit I,5783A6CCBAC00283,20251202172807,RAFFLES PLACE MRT STATION,"['East-West Line', 'North-South Line']",2,"[""East-West Line"", ""North-South Line""]",True
17837,TANJONG PAGAR MRT STATION,Exit E,BD38C5FD98D816FF,20251202172807,TANJONG PAGAR MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
17838,BENCOOLEN MRT STATION,Exit B,0DF43E9348A676BC,20251202172807,BENCOOLEN MRT STATION,['Downtown Line'],1,"[""Downtown Line""]",True
17839,TAMPINES EAST MRT STATION,Exit C,FFF4C9A7B530851C,20251202172807,TAMPINES EAST MRT STATION,['Downtown Line'],1,"[""Downtown Line""]",True
17840,MATTAR MRT STATION,Exit A,6B8EB7C225C36578,20251202172807,MATTAR MRT STATION,['Downtown Line'],1,"[""Downtown Line""]",True
17841,CHOA CHU KANG MRT STATION,Exit A,AADCDA84B1CB7302,20251202172807,CHOA CHU KANG MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17842,CHOA CHU KANG MRT STATION,Exit B,4DDA5EEBC0D64FFE,20251202172807,CHOA CHU KANG MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17843,CHOA CHU KANG MRT STATION,Exit C,BFC5700660BC9DF6,20251202172807,CHOA CHU KANG MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
