specification,bandwidth_m,sample_size,cutoff_coef_log_points,cutoff_std_err,cutoff_p_value,cutoff_premium_pct,cutoff_price_jump_sgd_at_local_mean_price,cutoff_price_jump_sgd_at_local_median_price,local_mean_resale_price,local_median_resale_price,cutoff_ci_low_pct,cutoff_ci_high_pct,r_squared,boundary_school_name,school_group,inside_n,outside_n
controlled,300,2608,-0.03364432393541428,0.0068002999583943805,7.51817942301733e-07,-0.03308464786804621,-21911.72753169995,-20512.48167818865,662292.9045245398,620000.0,-0.04588675760073713,-0.020110761865700266,0.9744042483004616,AI TONG SCHOOL,good,649,1959
uncontrolled,300,2608,0.16405358247694068,0.03315674467288708,7.504951544046015e-07,0.17827744842549698,118071.88912894625,110532.01802380812,662292.9045245398,620000.0,0.10413957105150473,0.25739334217135634,0.07310748854144,AI TONG SCHOOL,good,649,1959
controlled,500,3795,-0.03430134449999457,0.006244759823040433,3.955648891396023e-08,-0.03371972248721733,-21173.148040725766,-19557.43904258605,627915.8450592885,580000.0,-0.045474646173970346,-0.021820037605460474,0.9729852299873005,AI TONG SCHOOL,good,701,3094
uncontrolled,500,3795,0.04330007795443736,0.028573137188470075,0.12966807395059435,0.044251204604983,27786.032534429378,25665.69867089014,627915.8450592885,580000.0,-0.012622924967457427,0.10440135374119164,0.0411595039861381,AI TONG SCHOOL,good,701,3094
controlled,100,1087,0.011904173247418293,0.012449745361526415,0.33898228735940306,0.011975309911921084,9192.199612578264,9280.86518173884,767595.9687212511,775000.0,-0.01241956036009173,0.03697277382765307,0.9142939558167776,ALEXANDRA PRIMARY SCHOOL,non_good,730,357
uncontrolled,100,1087,0.07717236040593821,0.029872610136230434,0.009783695623619172,0.08022824892724367,61582.88045411728,62176.89291861385,767595.9687212511,775000.0,0.018796516133534613,0.14536421287435286,0.052177043745503804,ALEXANDRA PRIMARY SCHOOL,non_good,730,357
controlled,200,2220,-0.006142079774514753,0.008936809555149226,0.4919070536999549,-0.006123255761783741,-4478.122216065291,-4641.427867432076,731330.258,758000.0,-0.023380564634576606,0.011438997594752198,0.9229759693286945,ALEXANDRA PRIMARY SCHOOL,non_good,1545,675
uncontrolled,200,2220,-0.035223265404001,0.022509999636143255,0.11763379244654104,-0.03461014596111145,-25311.446975157294,-26234.49063852248,731330.258,758000.0,-0.07627684191083106,0.008936023872274435,0.05394896580465591,ALEXANDRA PRIMARY SCHOOL,non_good,1545,675
controlled,300,3091,-0.02528480111299891,0.007677667972849606,0.0009902164198098472,-0.024967817769376843,-18372.166981081748,-18975.5415047264,735833.9103073439,760000.0,-0.03953047960677536,-0.010184356504940206,0.9234433748721603,ALEXANDRA PRIMARY SCHOOL,non_good,1886,1205
uncontrolled,300,3091,-0.08558443473802375,0.019775177344159463,1.5055697412685683e-05,-0.08202436925005518,-60356.312365761565,-62338.52063004194,735833.9103073439,760000.0,-0.11692379730378621,-0.045745705661770275,0.03675542879843663,ALEXANDRA PRIMARY SCHOOL,non_good,1886,1205
controlled,500,4698,-0.02691256588227102,0.006555259846725916,4.034555073403445e-05,-0.02655364977363106,-18845.25171410076,-19782.46908135514,709704.7628011921,745000.0,-0.03898078477627698,-0.013965816959820021,0.9281743313791064,ALEXANDRA PRIMARY SCHOOL,non_good,2504,2194
uncontrolled,500,4698,-0.07361941101472436,0.017566950097790933,2.7798400873307162e-05,-0.07097479667445872,-50371.151238709564,-52876.223522471744,709704.7628011921,745000.0,-0.10241785218230648,-0.03843026455851062,0.02288074998212064,ALEXANDRA PRIMARY SCHOOL,non_good,2504,2194
controlled,100,3589,0.08345991747019942,0.007488069160720363,7.513465842866949e-29,0.08704164304058848,48559.835979667245,47437.695457120724,557891.996099192,545000.0,0.07120405612829095,0.10311338623503397,0.8723972895420798,ANCHOR GREEN PRIMARY SCHOOL,non_good,1616,1973
uncontrolled,100,3589,-0.03537594872614418,0.02365491318654884,0.13478371265420291,-0.03475753363908296,-19390.949821392805,-18942.855833300215,557891.996099192,545000.0,-0.07848809110165744,0.011048267385209254,0.004074280993606072,ANCHOR GREEN PRIMARY SCHOOL,non_good,1616,1973
controlled,200,6252,0.04110492676820394,0.005029879720103624,3.029439354255695e-16,0.04196142945526282,23265.52013048776,22822.317943563987,554450.1327175304,543888.0,0.03173965455661776,0.05228447474864106,0.8601139101486075,ANCHOR GREEN PRIMARY SCHOOL,non_good,2702,3550
uncontrolled,200,6252,-0.0033698499068291893,0.014516325290205951,0.8164276644731611,-0.003364178335202306,-1865.2691244383589,-1829.7362263765117,554450.1327175304,543888.0,-0.031320860658039185,0.02539935122399717,0.005147276155387459,ANCHOR GREEN PRIMARY SCHOOL,non_good,2702,3550
controlled,300,9613,0.02525821274257729,0.003969596390992865,1.9795755212169382e-10,0.025579904137485787,13990.720351755896,13761.988425967353,546941.8601633206,538000.0,0.01763143436575554,0.03359045745889677,0.8634478691382045,ANCHOR GREEN PRIMARY SCHOOL,non_good,4080,5533
uncontrolled,300,9613,-0.004677220120097773,0.010656534177007713,0.6607294225466223,-0.004666298959596915,-2552.1942330401043,-2510.4688402631405,546941.8601633206,538000.0,-0.025240034092969932,0.01634167495269878,0.0172476691368878,ANCHOR GREEN PRIMARY SCHOOL,non_good,4080,5533
controlled,500,16042,0.027976936515897614,0.0031740625473113257,1.2050392703899384e-18,0.028371966307418672,15387.295162396715,15179.001974468989,542341.5140026181,535000.0,0.021994156365477746,0.03478957731808596,0.8721470891102284,ANCHOR GREEN PRIMARY SCHOOL,non_good,6289,9753
uncontrolled,500,16042,-0.0003082707295518042,0.008129793483467054,0.9697525494805562,-0.0003082232190125822,-167.1622472500444,-164.8994221717315,542341.5140026181,535000.0,-0.01611146516909656,0.01574885079363897,0.030950386679180375,ANCHOR GREEN PRIMARY SCHOOL,non_good,6289,9753
controlled,100,243,-0.03388284142653619,0.047174532493545966,0.47260663663484725,-0.03331524658995644,-13385.692620043217,-12992.94617008301,401788.7901234568,390000.0,-0.11868919187971494,0.06032900523318552,0.9784486273859176,ANDERSON PRIMARY SCHOOL,non_good,151,92
uncontrolled,100,243,-0.2772279539651466,0.10413961226411758,0.00776594742342581,-0.24211828472400487,-97280.41268602455,-94426.1310423619,401788.7901234568,390000.0,-0.3820462076640808,-0.07050543022244371,0.02746184561116416,ANDERSON PRIMARY SCHOOL,non_good,151,92
controlled,200,536,-0.01897004891237053,0.01382701186606849,0.17007720271188986,-0.01879124992803871,-7497.593063948802,-7140.6749726547105,398993.8451492537,380000.0,-0.04502583590389775,0.00816403983981906,0.9681686065704839,ANDERSON PRIMARY SCHOOL,non_good,336,200
uncontrolled,200,536,-0.011125096637729426,0.0597741626064179,0.8523515831899258,-0.011063441601354862,-4414.245105108794,-4204.107808514847,398993.8451492537,380000.0,-0.12039510505176632,0.11185774676130422,0.03305159874291119,ANDERSON PRIMARY SCHOOL,non_good,336,200
controlled,300,1174,-0.02458458201294611,0.010680862571176907,0.02134976820912924,-0.02428484252396257,-9900.370380394805,-8936.822048818225,407676.9437819421,368000.0,-0.04449862154754558,-0.003643437887660972,0.9668985225870421,ANDERSON PRIMARY SCHOOL,non_good,736,438
uncontrolled,300,1174,-0.13929771186165735,0.050520342788007135,0.005828801428960663,-0.13003101018681518,-53010.64482983939,-47851.41174874798,407676.9437819421,368000.0,-0.21204758950920277,-0.03947746950205855,0.015254245469895178,ANDERSON PRIMARY SCHOOL,non_good,736,438
controlled,500,2257,-0.023988486366219856,0.008115055398014784,0.003116094527181892,-0.023703049581253466,-10252.076159747518,-9244.189336688853,432521.39875941514,390000.0,-0.03910870691319224,-0.008050398359853217,0.9657107918724108,ANDERSON PRIMARY SCHOOL,non_good,1114,1143
uncontrolled,500,2257,-0.15686850942364858,0.03841620857232142,4.4382709517611936e-05,-0.14518354826386826,-62794.99137194335,-56621.58382290862,432521.39875941514,390000.0,-0.20718412977612422,-0.07833433511817578,0.04430934223601779,ANDERSON PRIMARY SCHOOL,non_good,1114,1143
controlled,100,1134,-0.007782943337997689,0.013533505800371146,0.5652324551170913,-0.007752734656119475,-4387.603687584553,-4070.1856944627248,565942.71340388,525000.0,-0.0337267475190578,0.01891947547397055,0.963738935503847,ANG MO KIO PRIMARY SCHOOL,non_good,499,635
uncontrolled,100,1134,0.2620564099323276,0.04641988105955944,1.6484689668539615e-08,0.299599850701336,169556.35244131144,157289.9216182014,565942.71340388,525000.0,0.18657789172772454,0.4233871907757474,0.03338350862162731,ANG MO KIO PRIMARY SCHOOL,non_good,499,635
controlled,200,2328,0.01842967480276625,0.008740316482684722,0.03498067009374416,0.018600549366166952,9773.873105136434,8653.905592609175,525461.5287285224,465250.0,0.0012994981136045247,0.03620053852392946,0.9607477519191886,ANG MO KIO PRIMARY SCHOOL,non_good,1015,1313
uncontrolled,200,2328,0.1183524478498596,0.03612671691927295,0.0010527490699343623,0.12564077113179528,66019.39166954355,58454.368769067754,525461.5287285224,465250.0,0.04869242928360373,0.20823523680795342,0.05900317755276718,ANG MO KIO PRIMARY SCHOOL,non_good,1015,1313
controlled,300,3567,0.01822265943957586,0.0071066717998143755,0.010342518914599025,0.01838970522823491,9763.428613051537,8790.279099096286,530918.1681749369,478000.0,0.004302813344291501,0.0326741874408254,0.9573608676903228,ANG MO KIO PRIMARY SCHOOL,non_good,1554,2013
uncontrolled,300,3567,0.15311274624109927,0.028981265308412094,1.2697237862190247e-07,0.16545637236069055,87843.79412660809,79088.14598841008,530918.1681749369,478000.0,0.10109976447385782,0.23357446772788681,0.05093999230467183,ANG MO KIO PRIMARY SCHOOL,non_good,1554,2013
controlled,500,6548,0.002542349520631232,0.005602496744415347,0.6499809424629694,0.002545584031678816,1492.4984395208915,1369.524209043203,586308.8473793524,538000.0,-0.008403039524333189,0.01361509577366693,0.958390958921945,ANG MO KIO PRIMARY SCHOOL,non_good,2446,4102
uncontrolled,500,6548,0.26813286373937695,0.02303195187140326,2.526930552562678e-31,0.3075208505842846,180302.19545118994,165446.2176143451,586308.8473793524,538000.0,0.24980837313636428,0.3678983206220834,0.04210232390695556,ANG MO KIO PRIMARY SCHOOL,non_good,2446,4102
controlled,100,1331,0.011119359703260731,0.006842707583166966,0.10416380812252667,0.011181409554974708,6528.759420825139,6317.49639856071,583894.1314800902,565000.0,-0.002289721738504946,0.02483442869934671,0.9685541035970193,ANGSANA PRIMARY SCHOOL,non_good,520,811
uncontrolled,100,1331,-0.008143037022351942,0.02782546046767217,0.7697919987996668,-0.008109972306316604,-4735.365236124318,-4582.134353068881,583894.1314800902,565000.0,-0.060756898776180734,0.04748794615178986,0.009884068227857146,ANGSANA PRIMARY SCHOOL,non_good,520,811
controlled,200,2773,0.0184204359002413,0.00512648909757179,0.00032665751137454563,0.018591138658451856,10464.61930153609,10039.214875564003,562882.1071042193,540000.0,0.008407664814376714,0.028877451010356436,0.957941762568064,ANGSANA PRIMARY SCHOOL,non_good,1012,1761
uncontrolled,200,2773,-0.013731668528345684,0.02214935173004657,0.5352854170964836,-0.013637819228327297,-7676.4844235473065,-7364.42238329674,562882.1071042193,540000.0,-0.05554231820433908,0.03012593407773778,0.027604146328812584,ANGSANA PRIMARY SCHOOL,non_good,1012,1761
controlled,300,4441,0.027631556949774663,0.004503673866761643,8.497885272354694e-10,0.02801684897254808,16032.807465249178,15411.732417611029,572255.912181941,550088.0,0.018982271521231553,0.037131529475708414,0.9520875389365457,ANGSANA PRIMARY SCHOOL,non_good,1492,2949
uncontrolled,300,4441,-0.017444203327310427,0.0187236668691691,0.35150917633165235,-0.017292934080107125,-9895.983766313877,-9512.635522257968,572255.912181941,550088.0,-0.05270297858145556,0.019440740943915014,0.012145739511126186,ANGSANA PRIMARY SCHOOL,non_good,1492,2949
controlled,500,7988,0.024204112693418545,0.003584341865167502,1.4508325723184346e-11,0.024499409884687795,14329.624261191368,13768.66835519454,584896.7109263896,562000.0,0.017327206852018717,0.03172217727462101,0.945505112400075,ANGSANA PRIMARY SCHOOL,non_good,2383,5605
