term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
C(month_period)[T.2020-08],0.011132320081782082,0.004503905154181951,2.4717039326295622,0.013448738189517518,0.002304721159589537,0.019959919003974626
C(month_period)[T.2020-09],0.02054843412171921,0.004478492895075009,4.58824756522809,4.47525052971477e-06,0.011770642916035664,0.029326225327402755
C(month_period)[T.2020-10],0.0352860972876983,0.0045196785241091815,7.80721396432794,5.90301356242199e-15,0.026427582753697255,0.04414461182169934
C(month_period)[T.2020-11],0.04653081968394608,0.0045537517957154085,10.218128209738305,1.6912348610317417e-24,0.037605521955048626,0.055456117412843536
C(month_period)[T.2020-12],0.051720567164811465,0.004531263315897008,11.414160590350258,3.709741561709466e-30,0.04283934658083842,0.06060178774878451
C(month_period)[T.2021-01],0.06726065493550937,0.0044669009486290176,15.05756579539849,3.5055111422191e-51,0.058505583802840176,0.07601572606817855
C(month_period)[T.2021-02],0.07835745617623568,0.004562195331608436,17.175383884453318,5.053357602857892e-66,0.06941560922043465,0.08729930313203672
C(month_period)[T.2021-03],0.08701883212363959,0.004442396335699429,19.588263979138862,2.8180659782845176e-85,0.0783117897320919,0.09572587451518728
C(month_period)[T.2021-04],0.09531323970655113,0.00449396412164821,21.20916792535361,1.3054545191904458e-99,0.08650512508633125,0.10412135432677101
C(month_period)[T.2021-05],0.10791389754393402,0.004662545868944886,23.144844163936227,3.361729409961896e-118,0.09877536476440728,0.11705243032346076
C(month_period)[T.2021-06],0.12180520949495384,0.004510687458200374,27.003690817352794,5.05122680955997e-160,0.11296431733997919,0.1306461016499285
C(month_period)[T.2021-07],0.1257770442056809,0.004415652200546415,28.484363915735166,9.469136307076279e-178,0.1171224199913749,0.13443166841998688
C(month_period)[T.2021-08],0.1383375612235633,0.004423400783613447,31.27402828521368,1.1429236744113397e-213,0.1296677498813784,0.1470073725657482
C(month_period)[T.2021-09],0.14728935036422044,0.004472879687210033,32.92942369663702,1.5595001149758429e-236,0.13852256097718152,0.15605613975125937
C(month_period)[T.2021-10],0.15663623003016713,0.0044822848392852875,34.9456216296917,6.1695070001014704e-266,0.1478510066602888,0.16542145340004547
