address_key,query,latitude,longitude,x_svy21,y_svy21,matched_address,match_score,error
TOA PAYOH|220|LOR 8 TOA PAYOH,220 LOR 8 TOA PAYOH SINGAPORE,1.342616734042843,103.8564548682435,30574.81765361968,36085.26535716839,220 LORONG 8 TOA PAYOH SINGAPORE 310220,3.0,
TOA PAYOH|213|LOR 8 TOA PAYOH,213 LOR 8 TOA PAYOH SINGAPORE,1.341004936229277,103.8544125439598,30347.53067234904,35907.03893347085,213 LORONG 8 TOA PAYOH SINGAPORE 310213,3.0,
TOA PAYOH|204|TOA PAYOH NTH,204 TOA PAYOH NTH SINGAPORE,1.341484140074495,103.849067723667,29752.70949269831,35960.0223730728,204 TOA PAYOH NORTH TOA PAYOH SPRING SINGAPORE 310204,3.0,
TOA PAYOH|208|TOA PAYOH NTH,208 TOA PAYOH NTH SINGAPORE,1.341893618491976,103.8452078058274,29323.14215133712,36005.29797981493,208 TOA PAYOH NORTH TOA PAYOH NORTH SINGAPORE 310208,3.0,
TOA PAYOH|12|JOO SENG RD,12 JOO SENG RD SINGAPORE,1.335853854837476,103.8789327061494,33076.37113343645,35337.49569720589,12 JOO SENG ROAD JOO SENG HEIGHTS SINGAPORE 360012,3.0,
TOA PAYOH|172A|LOR 1 TOA PAYOH,172A LOR 1 TOA PAYOH SINGAPORE,1.330269939321356,103.8425402474283,29026.27661222778,34720.0097605437,172A LORONG 1 TOA PAYOH HDB PUBLIC SHELTERS SINGAPORE 311172,3.0,
TOA PAYOH|247|KIM KEAT LINK,247 KIM KEAT LINK SINGAPORE,1.331062759261262,103.8552670056849,30442.63285879698,34807.68466807343,247 KIM KEAT LINK SINGAPORE 310247,6.0,
TOA PAYOH|144|POTONG PASIR AVE 2,144 POTONG PASIR AVE 2 SINGAPORE,1.332620199073688,103.8655135058793,31582.9601975875,34979.91091801971,144 POTONG PASIR AVENUE 2 SINGAPORE 350144,3.0,
TOA PAYOH|14A|LOR 7 TOA PAYOH,14A LOR 7 TOA PAYOH SINGAPORE,1.336268208009509,103.8583152339521,30781.86331426352,35383.27980607562,14A LORONG 7 TOA PAYOH MY FIRST SKOOL SINGAPORE 311014,3.0,
TOA PAYOH|171|LOR 1 TOA PAYOH,171 LOR 1 TOA PAYOH SINGAPORE,1.330685349109361,103.8426590173617,29039.49430776946,34765.94369593263,171 LORONG 1 TOA PAYOH TOA PAYOH GREEN SINGAPORE 310171,3.0,
TOA PAYOH|143|POTONG PASIR AVE 2,143 POTONG PASIR AVE 2 SINGAPORE,1.332907621111164,103.8661688452913,31655.89223614615,35011.6935419105,143 POTONG PASIR AVENUE 2 SINGAPORE 350143,3.0,
