Name,Vacancies,Phase_1,Phase_1_notes,Phase_2A,Phase_2A_Ratio,Phase_2A_Balloting,Phase_2A_Balloting_ratio,Phase_2B,Phase_2B_ratio,Phase_2B_Balloting,Phase_2B_Balloting_ratio,Phase_2C,Phase_2C_ratio,Phase_2C_Balloting,Phase_2C_Balloting_ratio,Phase_2C_sup,Phase_2C_sup_ratio,Phase_2C_sup_Balloting,Phase_2C_sup_Balloting_ratio
Concord Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,18/44,No,N/A,All applicants were successful,1/29,No,N/A,There were more applicants than vacancies,96/86,Yes,10/1,No registration was conducted,N/A,N/A,N/A
Corporation Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,11/60,No,N/A,All applicants were successful,0/36,No,N/A,All applicants were successful,23/109,No,N/A,All applicants were successful,18/86,No,N/A
Dazhong Primary School,200,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,49/68,No,N/A,All applicants were successful,0/26,No,N/A,All applicants were successful,72/80,No,N/A,There were more applicants than vacancies,21/9,No,N/A
De La Salle School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,11/105,No,N/A,All applicants were successful,12/51,No,N/A,All applicants were successful,114/143,No,N/A,There were more applicants than vacancies,47/29,No,N/A
East Spring Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,22/127,No,N/A,All applicants were successful,0/55,No,N/A,All applicants were successful,55/165,No,N/A,All applicants were successful,18/111,No,N/A
Edgefield Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,5/122,No,N/A,All applicants were successful,0/59,No,N/A,All applicants were successful,26/178,No,N/A,All applicants were successful,39/152,No,N/A
Elias Park Primary School,160,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,21/27,No,N/A,All applicants were successful,0/22,No,N/A,There were more applicants than vacancies,115/66,Yes,101/66,No registration was conducted,N/A,N/A,N/A
Endeavour Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,5/119,No,N/A,All applicants were successful,0/58,No,N/A,All applicants were successful,68/174,No,N/A,All applicants were successful,66/106,No,N/A
Evergreen Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,6/46,No,N/A,All applicants were successful,0/33,No,N/A,All applicants were successful,68/100,No,N/A,All applicants were successful,26/32,No,N/A
Fairfield Methodist School (Primary),270,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,103/97,Yes,46/41,There were more applicants than vacancies,30/20,Yes,21/20,There were more applicants than vacancies,70/42,Yes,47/42,No registration was conducted,N/A,N/A,N/A
Farrer Park Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,13/81,No,N/A,All applicants were successful,0/43,No,N/A,All applicants were successful,24/129,No,N/A,All applicants were successful,65/105,No,N/A
Fengshan Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,51/58,No,N/A,All applicants were successful,0/23,No,N/A,There were more applicants than vacancies,93/69,Yes,15/9,No registration was conducted,N/A,N/A,N/A
Fern Green Primary School,280,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,32/125,No,N/A,All applicants were successful,0/51,No,N/A,All applicants were successful,85/153,No,N/A,All applicants were successful,40/68,No,N/A
Fernvale Primary School,280,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,20/117,No,N/A,All applicants were successful,1/52,No,N/A,All applicants were successful,72/156,No,N/A,All applicants were successful,38/85,No,N/A
First Toa Payoh Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,8/98,No,N/A,All applicants were successful,0/50,No,N/A,All applicants were successful,10/151,No,N/A,All applicants were successful,32/141,No,N/A
Frontier Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,78/66,Yes,68/66,There were more applicants than vacancies,23/20,No,N/A,There were more applicants than vacancies,66/40,Yes,53/40,No registration was conducted,N/A,N/A,N/A
Fuchun Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,17/51,No,N/A,All applicants were successful,0/31,No,N/A,All applicants were successful,47/94,No,N/A,All applicants were successful,3/48,No,N/A
Fuhua Primary School,220,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,28/85,No,N/A,All applicants were successful,0/39,No,N/A,All applicants were successful,31/119,No,N/A,All applicants were successful,22/88,No,N/A
