shopping_centre_name,latitude,longitude,index_right,OBJECTID,LU_DESC,LU_TEXT,GPR,WHI_Q_MX,GPR_B_MN,SHAPE.AREA,SHAPE.LEN
Junction 10,1.38055127973087,103.760106974822,12416,11895,COMMERCIAL & RESIDENTIAL,,3.0,,,15625.43538307,528.019969141464
Keat Hong Shopping Centre,1.37736607441394,103.744393648768,10602,11356,COMMERCIAL,,EVA,,,16631.6428727,594.060334031768
Limbang Shopping Centre,1.3920738867617,103.743099573442,10365,7064,COMMERCIAL,,EVA,,,14509.478470155,515.85186507672
Lot One,1.38506992325619,103.745238868238,9587,7437,COMMERCIAL,,3.3,,,8398.196232995,392.17422538264
Rail Mall,1.35773050150178,103.768137724847,10045,7970,RESIDENTIAL,,LND,,,139.25768999,59.8531275680914
Sunshine Place,1.37789727709418,103.739015486021,12265,12807,COMMERCIAL,,EVA,,,10687.13610974,532.230406912593
Teck Whye Shopping Centre,1.38004752975397,103.752483841199,12839,11855,COMMERCIAL & RESIDENTIAL,,EVA,,,32113.85760612,828.805270679481
West Mall,1.35037541626109,103.74912389291,8539,10013,COMMERCIAL,,EVA,,,8222.37574475,367.59944432761
Yew Tee Point,1.39705741516141,103.746662121143,9147,7335,COMMERCIAL & RESIDENTIAL,,3.2,,,8499.986905085,372.426959961523
Yew Tee Square,1.39836942665376,103.747188486453,10835,11396,COMMERCIAL,,EVA,,,5526.05215022,359.359661402441
321 Clementi,1.31200212030821,103.764986676365,4374,6817,COMMERCIAL,,3.0,,,2419.67857043,198.204301869271
The Clementi Mall,1.31489619639366,103.764423054189,11363,11084,COMMERCIAL & RESIDENTIAL,,5.0,,,16502.947463105,624.391602549071
IMM,1.33487526118006,103.746894773008,9568,8745,BUSINESS 1,,2.1,,,60956.117177865,992.689837129604
JCube,1.33332312550425,103.740187071348,11975,12647,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,,4.2,,,7771.079117215,342.585118789852
Jem,1.33305999269581,103.743503708169,7051,8812,WHITE,,5.6,,,18996.72559226,569.747070995237
Westgate,1.33415767556867,103.742766484424,12564,12444,WHITE,,4.9,,,18201.953356085,566.331278606449
Jurong Point,1.3394520043632,103.706685012926,4177,5514,COMMERCIAL,,EVA,,,11687.691865815,603.131608875428
Pioneer Mall,1.34169239214292,103.697174842118,12352,12335,COMMERCIAL & RESIDENTIAL,,EVA,,,9733.579260775,447.547045799218
The Star Vista,1.30681500712523,103.788462732266,38394,37517,WHITE,,3.2,,,19267.68226829,534.197621799828
Alexandra Central,1.28728320930592,103.805283367958,40703,41308,HOTEL,,2.8,,,8709.442255055,419.498168871904
Anchorpoint,1.28893477974497,103.805607779399,37557,38256,RESIDENTIAL,,2.8,,,56988.42120628,1144.6903863946
Boon Lay Shopping Centre,1.34637376407877,103.712472819666,12916,12315,COMMERCIAL & RESIDENTIAL,,EVA,,,32644.56534765,766.154138639066
Grantral Mall,1.31427043922294,103.765147487482,2221,2122,COMMERCIAL,,EVA,,,1367.971075315,152.69867936163
Fairprice Hub,1.35349593581988,103.940139392679,110477,111987,SPORTS & RECREATION,,EVA,,,56771.20185772,953.39457106978
Gek Poh Shopping Centre,1.3487416466288,103.697739629738,14881,13349,COMMERCIAL,,EVA,,,13707.735986625,512.836036477698
Rochester Mall,1.30540765569962,103.788446680148,74527,75328,WHITE,,5.4,,,8681.1477949,375.121467653089
Taman Jurong Shopping Centre,1.33484487471259,103.720462024278,12190,12791,COMMERCIAL & RESIDENTIAL,,EVA,,,22956.851768905,597.395763632138
West Coast Plaza,1.30358622534992,103.76610375397,15038,13405,COMMERCIAL & RESIDENTIAL,,2.8,,,16580.585708125,622.331035244781
Queensway Shopping Centre,1.2876179255874,103.803391140455,52349,54314,COMMERCIAL & RESIDENTIAL,,EVA,,,9608.734366975,565.672761118647
