blk_no,postal_code,entity_id,latitude,longitude,supermarket_name,supermarket_blk_house,supermarket_street,supermarket_postcode,supermarket_latitude,supermarket_longitude,euclidean_distance_to_nearest_supermarket_km,nearest_supermarket_estimated_walking_km,walking_time_to_nearest_supermarket_mins
163,460163,4265,1.3197706753476446,103.94660992842635,HAO MART PTE. LTD.,69,BEDOK SOUTH AVENUE 3,460069,1.31935027280391,103.94363236217,0.3347,0.4016,5.02
275D,644275,2259,1.3535613176116044,103.70293000107083,SHENG SIONG SUPERMARKET PTE LTD,7,JURONG WEST AVENUE 5,649486,1.34878489456242,103.703415655686,0.5345,0.6413,8.02
403,640403,2218,1.3538058208475205,103.72148088530288,NG TOH TET,442,JURONG WEST AVENUE 1,640442,1.35151847178612,103.719496485079,0.3371,0.4045,5.06
183A,671183,3993,1.3799358492764564,103.76267081451537,NTUC FAIRPRICE CO-OPERATIVE LTD,1,JELEBU ROAD,677743,1.38054244056369,103.763993951638,0.162,0.1944,2.43
267A,821267,2459,1.4046102590987941,103.89761323996318,U STARS SUPERMARKET PTE. LTD.,261,PUNGGOL WAY,820261,1.40541353593882,103.896823897364,0.1253,0.1504,1.88
51,161051,5474,1.2899597244485943,103.82767672048435,NTUC FAIRPRICE CO-OPERATIVE LTD,50,HAVELOCK ROAD,160050,1.28977814003505,103.826793758818,0.1003,0.1204,1.5
534,670534,3312,1.3845224812457813,103.76411453232829,COLD STORAGE SINGAPORE (1983) PTE LTD,524A,JELAPANG ROAD,671524,1.38529556248789,103.766170532015,0.2445,0.2933,3.67
175A,541175,12895,1.386358226986401,103.91171580943907,NTUC FAIRPRICE CO-OPERATIVE LTD,168,PUNGGOL FIELD,820168,1.394184094795,103.912976438987,0.8824,1.0589,13.24
376A,531376,10008,1.3635386916990528,103.89369194430896,LIM KING CHEW,6,HOUGANG AVENUE 3,530006,1.36271446207954,103.893980506642,0.0972,0.1167,1.46
318,540318,13178,1.3925481684484744,103.8899742791094,U STARS SUPERMARKET PTE. LTD.,215C,COMPASSVALE DRIVE,543215,1.38977025366003,103.892787164081,0.44,0.528,6.6
109,320109,5309,1.321537559497335,103.85911705104239,SHENG SIONG SUPERMARKET PTE LTD,108,MCNAIR ROAD,321108,1.32161904109972,103.859382727107,0.0309,0.0371,0.46
272,820272,8901,1.4028439046956587,103.9007445949394,LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,273C,PUNGGOL PLACE,823273,1.40230300615945,103.901262393433,0.0833,0.1,1.25
117,470117,6480,1.3313496629935657,103.90865421011371,CHUA & NG PTE. LTD.,632,BEDOK RESERVOIR ROAD,470632,1.33205094619271,103.914145078086,0.616,0.7393,9.24
52,100052,7853,1.273838266548946,103.81123796739261,NTUC FAIRPRICE CO-OPERATIVE LTD,78A,TELOK BLANGAH STREET 32,101078,1.27338252999837,103.808934817338,0.2613,0.3136,3.92
91B,392091,12797,1.3100921490675974,103.88868684879104,NTUC FAIRPRICE CO-OPERATIVE LTD,612-620,GEYLANG ROAD,389551,1.31414996835354,103.888544913634,0.452,0.5424,6.78
537,640537,12173,1.3505860007097652,103.71647112738503,LOCH GROCER PTE. LTD.,503,JURONG WEST AVENUE 1,640503,1.34995541023414,103.717704811504,0.1542,0.185,2.31
177B,672177,4113,1.3800179521066436,103.7650653002742,NTUC FAIRPRICE CO-OPERATIVE LTD,1,JELEBU ROAD,677743,1.38054244056369,103.763993951638,0.1328,0.1593,1.99
38,380038,3729,1.3180396352578014,103.87422031192988,NTUC FAIRPRICE CO-OPERATIVE LTD,71,KALLANG BAHRU,330071,1.32099294995032,103.870389995935,0.5383,0.646,8.07
275C,643275,2183,1.353230179011256,103.70275850291672,SHENG SIONG SUPERMARKET PTE LTD,7,JURONG WEST AVENUE 5,649486,1.34878489456242,103.703415655686,0.5002,0.6003,7.5
68,160068,3128,1.2836824356406273,103.83314859483139,FOODIE MARKET PLACE PTE. LTD.,225,OUTRAM ROAD,169038,1.28345077313013,103.835371310094,0.2487,0.2985,3.73
455,570455,4596,1.3587300078354705,103.83060132684066,NTUC FAIRPRICE CO-OPERATIVE LTD,301,UPPER THOMSON ROAD,574408,1.35466901882051,103.830919788426,0.4535,0.5441,6.8
85A,311085,78,1.3363156554580802,103.8494116583401,NTUC FAIRPRICE CO-OPERATIVE LTD,95,LORONG 4 TOA PAYOH,310095,1.33889072011391,103.848993319083,0.2904,0.3485,4.36
8,081008,3774,1.275799499544221,103.83903565087635,NTUC FAIRPRICE CO-OPERATIVE LTD,5,TANJONG PAGAR PLAZA,81005,1.27624052975614,103.843006122101,0.4446,0.5335,6.67
20,160020,3757,1.2881107334070545,103.82907191856945,YOUR GROCER PRIVATE LIMITED,34,JALAN BUKIT HO SWEE,160034,1.28807688301773,103.827081283638,0.2216,0.2659,3.32
271,760271,1194,1.437751523541979,103.84035749043645,COLD STORAGE SINGAPORE (1983) PTE LTD,293,YISHUN STREET 22,760293,1.4361142481059,103.837605239088,0.3564,0.4277,5.35
325B,822325,11053268,1.4131673975234074,103.8980170588641,SHENG SIONG SUPERMARKET PTE LTD,312A,SUMANG LINK,821312,1.41081926280608,103.900371678954,0.3701,0.4441,5.55
624A,510624,9201,1.3779599497631403,103.9419115140523,U STARS PTE. LTD.,625,ELIAS ROAD,510625,1.37860238037503,103.941978177656,0.0719,0.0863,1.08
